Area (Gathered) Production Summary,,,,,,Area:,Redwater Central,
Well,Date,Hours On,"Gas
(E3m³)","Oil / Cond.
(m³)","Water
(m³)","Avg. Gas
(E3m³)","Avg. Oil / Cond.
(m³)","Avg. Water
(m³)"
100/01-15-056-21W4/03,11/31/2016,0,0,0,0,0,0,0
100/01-27-056-21W4/03,11/31/2016,744,2.48,0.92,0.01,0.08,0.03,0
100/01-33-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
100/02-34-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
100/03-34-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
100/04-34-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
100/05-27-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
100/05-34-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
100/08-15-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
100/08-27-056-21W4/02,11/31/2016,744,4.34,7.63,0.12,0.14,0.25,0
100/08-33-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
100/09-19-056-21W4/00,11/31/2016,744,0,2.42,2.23,0,0.08,0.07
100/09-21-056-21W4/00,11/31/2016,744,0,15.86,1.49,0,0.51,0.05
100/09-33-056-21W4/02,11/31/2016,336,0,0,0,0,0,0
100/10-21-056-21W4/02,11/31/2016,744,17.27,17.27,1.61,0.56,0.56,0.05
100/10-22-056-21W4/02,11/31/2016,744,0.93,5.16,0.84,0.03,0.17,0.03
100/10-34-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
100/11-22-056-21W4/02,11/31/2016,744,10.23,2.39,0.71,0.33,0.08,0.02
100/11-27-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
100/11-34-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
100/12-27-056-21W4/00,11/31/2016,0,0,0,0,0,0,0
100/13-26-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
100/13-27-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
100/13-34-056-21W4/03,11/31/2016,0,0,0,0,0,0,0
100/14-22-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
100/14-27-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
100/15-22-056-21W4/02,11/31/2016,744,0,8.31,199.39,0,0.27,6.43
100/16-21-056-21W4/00,11/31/2016,744,0,8.95,3.83,0,0.29,0.12
100/16-27-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
100/16-33-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
102/01-34-056-21W4/00,11/31/2016,744,7.04,19.01,3.16,0.23,0.61,0.1
102/02-04-057-21W4/00,11/31/2016,744,26.92,101.97,18.79,0.87,3.29,0.61
102/02-34-056-21W4/00,11/31/2016,744,7.67,32.18,3.85,0.25,1.04,0.12
102/03-22-056-21W4/00,11/31/2016,744,7.33,42.28,7.39,0.24,1.36,0.24
102/04-04-057-21W4/00,11/31/2016,744,19.69,111.84,16.99,0.64,3.61,0.55
102/04-34-056-21W4/00,11/31/2016,744,11.47,41.98,5.45,0.37,1.35,0.18
102/05-04-057-21W4/00,11/31/2016,724,18.94,112.94,16.97,0.61,3.64,0.55
102/05-27-056-21W4/00,11/31/2016,744,6.81,33.05,67.8,0.22,1.07,2.19
102/05-34-056-21W4/00,11/31/2016,712,4.61,8.14,0.91,0.15,0.26,0.03
102/06-27-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
102/07-04-057-21W4/00,11/31/2016,728,26.62,180.02,30.94,0.86,5.81,1
102/07-27-056-21W4/00,11/31/2016,744,10.34,18.59,4.14,0.33,0.6,0.13
102/09-19-056-21W4/00,11/31/2016,744,0,2.21,2.13,0,0.07,0.07
102/09-22-056-21W4/00,11/31/2016,744,3.51,3,0.53,0.11,0.1,0.02
102/09-27-056-21W4/00,11/31/2016,744,10.94,27.6,5.03,0.35,0.89,0.16
102/09-33-056-21W4/00,11/31/2016,744,19.98,58.89,8.58,0.64,1.9,0.28
102/10-04-057-21W4/00,11/31/2016,744,0,13.97,5.94,0,0.45,0.19
102/10-27-056-21W4/00,11/31/2016,744,11.53,28.9,3.33,0.37,0.93,0.11
102/10-33-056-21W4/00,11/31/2016,744,19.95,135.61,20.5,0.64,4.37,0.66
102/11-27-056-21W4/00,11/31/2016,744,7.75,33.16,3.73,0.25,1.07,0.12
102/12-34-056-21W4/00,11/31/2016,744,7.13,27.57,4.67,0.23,0.89,0.15
102/13-04-057-21W4/00,11/31/2016,744,10.3,66.3,7.62,0.33,2.14,0.25
102/13-22-056-21W4/00,11/31/2016,744,11.2,41.48,5.72,0.36,1.34,0.18
102/13-34-056-21W4/00,11/31/2016,744,8.44,34.6,4.33,0.27,1.12,0.14
102/14-04-057-21W4/00,11/31/2016,0,0,0,0,0,0,0
102/14-22-056-21W4/00,11/31/2016,744,0,0,"1,194.18",0,0,38.52
102/14-34-056-21W4/02,11/31/2016,0,0,0,0,0,0,0
102/15-34-056-21W4/00,11/31/2016,744,4.03,21.93,5.04,0.13,0.71,0.16
